"","ptID","category","slope","WMA","old","x","y"
"1",1,"evergreen",3,"Barbour County Wildlife Management Area",0,"649080.759352372"," 3535554.24853726"
"2",2,"evergreen",11,"Barbour County Wildlife Management Area",1,"640210.294782246"," 3538654.79501893"
"3",3,"open",4,"Barbour County Wildlife Management Area",0,"652212.429715808"," 3534143.66009335"
"4",4,"deciduous",4,"Barbour County Wildlife Management Area",0,"651348.698119915"," 3539535.94077017"
"5",5,"open",0,"Barbour County Wildlife Management Area",0,"648613.759755035"," 3541598.07757932"
"6",6,"open",5,"Barbour County Wildlife Management Area",0,"643636.570701785"," 3544264.89083872"
"7",7,"evergreen",15,"Barbour County Wildlife Management Area",0,"646594.006580714"," 3535822.91615741"
"8",8,"mixed",4,"Barbour County Wildlife Management Area",0,"649091.08858535"," 3537203.0411563"
"9",9,"mixed",6,"Barbour County Wildlife Management Area",0,"645817.66915102"," 3537787.11673962"
"10",10,"deciduous",1,"Barbour County Wildlife Management Area",1,"645523.28528383"," 3540034.94209225"
"11",11,"evergreen",7,"Barbour County Wildlife Management Area",0,"654091.838050453"," 3538792.62976186"
"12",12,"open",5,"Barbour County Wildlife Management Area",0,"656393.965060028"," 3534791.87009812"
"13",13,"mixed",7,"Barbour County Wildlife Management Area",0,"652026.612230423"," 3536261.30146097"
"14",14,"mixed",7,"Barbour County Wildlife Management Area",0,"652182.849459511"," 3535076.41944342"
"15",15,"deciduous",8,"Barbour County Wildlife Management Area",0,"649454.574755316"," 3541217.45997283"
"16",16,"deciduous",6,"Barbour County Wildlife Management Area",0,"645383.514608395"," 3541697.99006787"
"17",17,"evergreen",4,"Barbour County Wildlife Management Area",0,"651028.765472222"," 3538126.87871423"
"18",18,"evergreen",7,"Barbour County Wildlife Management Area",0,"655912.493916131"," 3537597.88194944"
"19",19,"evergreen",5,"Barbour County Wildlife Management Area",0,"651737.036827529"," 3537938.89731047"
"20",20,"mixed",0,"Barbour County Wildlife Management Area",0,"651204.645419376"," 3535290.34432789"
"21",21,"deciduous",0,"Barbour County Wildlife Management Area",0,"653474.765481122"," 3535282.30757914"
